City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,saskylakh,71.9167,114.0833,-23.21,97,100,7.67,RU,1670192307
180,sananduva,-27.9497,-51.8067,21.38,89,62,1.42,BR,1670192308
181,thompson,55.7435,-97.8558,-26.91,76,20,3.09,CA,1670192140
182,nalut,30.3333,10.85,17.72,23,2,3.93,LY,1670192308
183,qarchi gak,37.04,66.7889,3.86,41,100,8.11,AF,1670192309
184,frontera,26.9333,-101.45,21.29,73,0,2.68,MX,1670191876
185,saint anthony,45.0205,-93.218,1.13,57,0,5.14,US,1670192310
186,tautira,-17.7333,-149.15,26.15,79,37,7.15,PF,1670192310
187,saveh,35.0213,50.3566,3.96,56,100,2.23,IR,1670192311
188,fallon,39.4735,-118.7774,10.93,40,40,9.26,US,1670192311
189,waipawa,-41.4122,175.5153,14.53,81,48,2.9,NZ,1670192311
190,carnarvon,-24.8667,113.6333,20.77,79,41,7.4,AU,1670192312
191,grand gaube,-20.0064,57.6608,25.22,70,60,0.89,MU,1670192313
192,waunakee,43.1919,-89.4557,2.71,55,0,5.14,US,1670192025
193,kajiado,-1.8524,36.7768,14.29,91,75,4.31,KE,1670192314
194,taraza,7.5836,-75.4007,25.53,93,52,0.73,CO,1670192314
195,san fernando,15.0286,120.6898,25.85,77,100,1.86,PH,1670192314
196,tasiilaq,65.6145,-37.6368,-2.91,65,5,1.45,GL,1670192315
197,camopi,3.1655,-52.3158,22.67,97,100,1.15,GF,1670192315
198,ileza,61.0533,43.9002,-13.88,92,38,2.18,RU,1670192316
199,zhigansk,66.7697,123.3711,-26.58,97,100,2.16,RU,1670192316
200,segou,13.4317,-6.2157,29.06,40,98,2.7,ML,1670192316
201,joao pessoa,-7.115,-34.8631,26.13,78,20,4.12,BR,1670192170
202,meadow lake,34.8014,-106.5436,12.6,90,100,0.72,US,1670192317
203,wanning,18.8003,110.3967,22.16,90,93,6.44,CN,1670192317
204,ballina,-28.8667,153.5667,22.66,84,55,3.99,AU,1670192318
205,kodiak,57.79,-152.4072,2.73,87,100,2.06,US,1670192318
206,kahului,20.8947,-156.47,29.01,59,20,6.17,US,1670192319
207,port elizabeth,-33.918,25.5701,16.72,97,100,3.09,ZA,1670192319
208,cayenne,4.9333,-52.3333,25.02,94,0,0.0,GF,1670192118
209,deniliquin,-35.5333,144.9667,19.77,54,100,6.26,AU,1670192320
210,cascais,38.6979,-9.4215,14.41,88,100,3.58,PT,1670192320
211,tahta,26.7693,31.5021,16.24,48,74,4.73,EG,1670192321
212,norfolk,42.1668,-71.2495,4.23,61,20,1.54,US,1670192321
213,kismayo,-0.3582,42.5454,25.82,82,20,4.26,SO,1670192322
214,totness,5.8833,-56.3167,23.13,94,100,0.41,SR,1670192322
215,castro,-24.7911,-50.0119,19.05,96,100,1.94,BR,1670192322
